Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-01-03,4.102499962,4.244999886,4.102499962,4.150000095,3704000,0,0
2005-01-04,4.137499809,4.175000191,4.03249979,4.090000153,2843200,0,0
2005-01-05,4.195000172,4.494999886,4.177499771,4.487500191,12164400,0,0
2005-01-06,4.487500191,4.550000191,4.375,4.429999828,6628400,0,0
2005-01-07,4.482500076,4.497499943,4.347499847,4.387499809,4608000,0,0
2005-01-10,4.25,4.394999981,4.237500191,4.244999886,3788400,0,0
2005-01-11,4.244999886,4.25,4.09250021,4.105000019,2862000,0,0
2005-01-12,3.75,3.862499952,3.67750001,3.775000095,18628000,0,0
2005-01-13,3.8125,3.920000076,3.762500048,3.8125,4376800,0,0
2005-01-14,3.8125,3.825000048,3.67750001,3.75,3806000,0,0
2005-01-18,3.724999905,3.787499905,3.662499905,3.762500048,2507200,0,0
2005-01-19,3.762500048,3.797499895,3.714999914,3.747499943,1841600,0,0
2005-01-20,3.747499943,3.747499943,3.650000095,3.652499914,4050000,0,0
2005-01-21,3.660000086,3.682499886,3.522500038,3.612499952,7144400,0,0
2005-01-24,3.612499952,3.642499924,3.450000048,3.474999905,4587600,0,0
2005-01-25,3.450000048,3.512500048,3.424999952,3.432499886,3506000,0,0
2005-01-26,3.434999943,3.472500086,3.394999981,3.450000048,2882400,0,0
2005-01-27,3.452500105,3.497499943,3.337500095,3.404999971,2001600,0,0
2005-01-28,3.412499905,3.450000048,3.342499971,3.36500001,1974800,0,0
2005-01-31,3.36500001,3.430000067,3.342499971,3.424999952,1607200,0,0
2005-02-01,3.377500057,3.484999895,3.337500095,3.424999952,1214800,0,0
2005-02-02,3.424999952,3.4375,3.317500114,3.325000048,3596000,0,0
2005-02-03,3.325000048,3.349999905,3.315000057,3.342499971,3137200,0,0
2005-02-04,3.342499971,3.519999981,3.325000048,3.515000105,3363600,0,0
2005-02-07,3.515000105,3.535000086,3.392499924,3.404999971,912400,0,0
2005-02-08,3.444999933,3.532500029,3.440000057,3.497499943,1408000,0,0
2005-02-09,3.502500057,3.512500048,3.277499914,3.315000057,1237600,0,0
2005-02-10,3.349999905,3.349999905,3.24000001,3.267499924,1188800,0,0
2005-02-11,3.262500048,3.390000105,3.25999999,3.362499952,1364400,0,0
2005-02-14,3.375,3.4375,3.362499952,3.412499905,1183600,0,0
2005-02-15,3.450000048,3.642499924,3.44749999,3.565000057,3428000,0,0
2005-02-16,3.565000057,3.57249999,3.380000114,3.5,1552000,0,0
2005-02-17,3.5,3.599999905,3.454999924,3.525000095,4304800,0,0
2005-02-18,3.75,4.182499886,3.75,3.987499952,19785600,0,0
2005-02-22,3.962500095,4.019999981,3.829999924,3.974999905,7933200,0,0
2005-02-23,3.875,3.974999905,3.875,3.917500019,4740800,0,0
2005-02-24,3.917500019,4.107500076,3.849999905,4.050000191,6050800,0,0
2005-02-25,4.050000191,4.21750021,4.050000191,4.117499828,5158800,0,0
2005-02-28,4.087500095,4.125,3.964999914,4.014999866,3198400,0,0
2005-03-01,4.050000191,4.147500038,3.99000001,4.130000114,2118800,0,0
2005-03-02,4.192500114,4.247499943,4.15500021,4.227499962,3010800,0,0
2005-03-03,4.237500191,4.239999771,4.142499924,4.204999924,1974800,0,0
2005-03-04,4.204999924,4.204999924,4.0625,4.150000095,1892000,0,0
2005-03-07,4.099999905,4.15749979,4.082499981,4.119999886,1562000,0,0
2005-03-08,4.125,4.204999924,4.079999924,4.195000172,1672400,0,0
2005-03-09,4.195000172,4.207499981,4.039999962,4.070000172,1698400,0,0
2005-03-10,4.025000095,4.025000095,3.625,3.872499943,3472000,0,0
2005-03-11,3.892499924,3.897500038,3.82249999,3.875,1118400,0,0
2005-03-14,3.825000048,3.924999952,3.825000048,3.88499999,1256800,0,0
2005-03-15,3.849999905,3.900000095,3.75,3.817500114,1733600,0,0
2005-03-16,3.817500114,3.910000086,3.672499895,3.737499952,3684400,0,0
2005-03-17,3.827500105,3.92750001,3.827500105,3.875,3504800,0,0
2005-03-18,3.912499905,3.914999962,3.75,3.752500057,3011600,0,0
2005-03-21,3.75,3.867500067,3.74000001,3.835000038,2294400,0,0
2005-03-22,3.829999924,3.869999886,3.737499952,3.775000095,1382000,0,0
2005-03-23,3.757499933,3.769999981,3.650000095,3.700000048,1624000,0,0
2005-03-24,3.4375,3.707499981,3.424999952,3.674999952,4046400,0,0
2005-03-28,3.662499905,3.69749999,3.599999905,3.609999895,1988400,0,0
2005-03-29,3.619999886,3.6875,3.539999962,3.569999933,1746000,0,0
2005-03-30,3.565000057,3.63499999,3.49000001,3.625,2360000,0,0
2005-03-31,3.650000095,3.805000067,3.650000095,3.747499943,2521200,0,0
2005-04-01,3.637500048,3.757499933,3.637500048,3.75,2260400,0,0
2005-04-04,3.704999924,3.755000114,3.67750001,3.737499952,1199200,0,0
2005-04-05,3.75,3.875,3.75,3.815000057,2964000,0,0
2005-04-06,3.799999952,3.859999895,3.744999886,3.817500114,2789600,0,0
2005-04-07,3.795000076,3.904999971,3.762500048,3.859999895,1476400,0,0
2005-04-08,3.842499971,3.845000029,3.809999943,3.839999914,1547200,0,0
2005-04-11,3.817500114,3.859999895,3.815000057,3.827500105,832400,0,0
2005-04-12,3.872499943,3.924999952,3.779999971,3.907500029,4554400,0,0
2005-04-13,3.950000048,4.09499979,3.837500095,3.862499952,5777200,0,0
2005-04-14,3.817500114,3.825000048,3.702500105,3.767499924,3149600,0,0
2005-04-15,3.737499952,3.75999999,3.592499971,3.607500076,3368800,0,0
2005-04-18,3.612499952,3.742500067,3.5625,3.724999905,1922400,0,0
