Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-01-22,0.401738686,0.448368851,0.3563041,0.3766298,271468800,0,0
1999-01-25,0.406520852,0.420868658,0.37662969,0.416086376,51048000,0,0
1999-01-26,0.420868813,0.429238762,0.377825379,0.383804172,34320000,0,0
1999-01-27,0.384999751,0.394565278,0.363477569,0.382608622,24436800,0,0
1999-01-28,0.382608441,0.384999569,0.379020778,0.381412864,22752000,0,0
1999-01-29,0.381413002,0.38260858,0.363477528,0.363477528,24403200,0,0
1999-02-01,0.36347756,0.373043086,0.36347756,0.370651931,15470400,0,0
1999-02-02,0.363477569,0.373043096,0.33119524,0.341956317,26409600,0,0
1999-02-03,0.33717407,0.353913039,0.334781983,0.349129796,7512000,0,0
1999-02-04,0.35391299,0.37782537,0.349129748,0.368260801,18192000,0,0
1999-02-05,0.374238616,0.382608563,0.36467309,0.3790209,13684800,0,0
1999-02-08,0.381412813,0.38260839,0.365869433,0.365869433,15408000,0,0
1999-02-09,0.373043007,0.375434162,0.346738546,0.35152176,8697600,0,0
1999-02-10,0.351521853,0.36108645,0.341956326,0.347934216,14822400,0,0
1999-02-11,0.349129702,0.392173129,0.349129702,0.37782532,13224000,0,0
1999-02-12,0.382608605,0.4017387,0.382608605,0.399347544,10972800,0,0
1999-02-16,0.406520988,0.423260885,0.361086427,0.401738703,21100800,0,0
1999-02-17,0.392173126,0.396956368,0.373043033,0.380217403,6772800,0,0
1999-02-18,0.392173164,0.396956406,0.375434225,0.386195302,7070400,0,0
1999-02-19,0.382608605,0.406520984,0.377825362,0.399347544,7536000,0,0
1999-02-22,0.406520988,0.41130423,0.380217452,0.401738703,20524800,0,0
1999-02-23,0.411304158,0.429238672,0.387390824,0.420868725,13809600,0,0
1999-02-24,0.483043201,0.502173322,0.443586507,0.45434761,61276800,0,0
1999-02-25,0.473477786,0.487825598,0.432825507,0.439999878,14913600,0,0
1999-02-26,0.444782121,0.459129932,0.416086501,0.419673234,17260800,0,0
1999-03-01,0.430434312,0.439999838,0.401738691,0.422064364,9216000,0,0
1999-03-02,0.420868783,0.423260869,0.411304215,0.418477654,5524800,0,0
1999-03-03,0.420868759,0.420868759,0.387390856,0.389782012,6139200,0,0
1999-03-04,0.408912895,0.41130405,0.377825201,0.381412864,5736000,0,0
1999-03-05,0.384999681,0.404129801,0.384999681,0.402934223,7876800,0,0
1999-03-08,0.39217315,0.42086877,0.38499971,0.408913046,7588800,0,0
1999-03-09,0.407716554,0.428043156,0.407716554,0.422064364,14318400,0,0
1999-03-10,0.428043086,0.428043086,0.408912994,0.414890856,23534400,0,0
1999-03-11,0.407716714,0.414891087,0.396956563,0.396956563,5428800,0,0
1999-03-12,0.39934751,0.39934751,0.382608572,0.389782012,9076800,0,0
1999-03-15,0.399347552,0.411304235,0.396956424,0.406520993,10881600,0,0
1999-03-16,0.408912977,0.41369526,0.389781956,0.393368661,7915200,0,0
1999-03-17,0.396956412,0.404129852,0.386195308,0.395760834,5136000,0,0
1999-03-18,0.396956417,0.406520986,0.387390891,0.400543123,4632000,0,0
1999-03-19,0.399347547,0.413695358,0.399347547,0.401738703,10531200,0,0
1999-03-22,0.410108613,0.411304191,0.389782012,0.389782012,3667200,0,0
1999-03-23,0.392172953,0.392172953,0.358695066,0.365869433,16396800,0,0
1999-03-24,0.363477528,0.365869614,0.349129718,0.363477528,6086400,0,0
1999-03-25,0.362282008,0.382608612,0.36108643,0.368260801,4032000,0,0
1999-03-26,0.37304308,0.401738701,0.37304308,0.400543123,8827200,0,0
1999-03-29,0.412499696,0.42206429,0.405325354,0.412499696,6595200,0,0
1999-03-30,0.413695308,0.417282041,0.375434192,0.37782532,6950400,0,0
1999-03-31,0.389782109,0.408913138,0.371847562,0.404129922,15360000,0,0
1999-04-01,0.40412973,0.406520858,0.384999614,0.392173052,3043200,0,0
1999-04-05,0.387390842,0.396956368,0.377825317,0.380217403,9864000,0,0
1999-04-06,0.383804164,0.384999742,0.36347756,0.370651931,6969600,0,0
1999-04-07,0.373043082,0.404129859,0.370651926,0.401738703,8928000,0,0
1999-04-08,0.404129832,0.42086877,0.39934752,0.408913046,13012800,0,0
1999-04-09,0.41130423,0.41130423,0.399347547,0.401738703,4862400,0,0
1999-04-12,0.396956435,0.396956435,0.377825381,0.384999752,3331200,0,0
1999-04-13,0.392173148,0.392173148,0.363477529,0.369456321,3614400,0,0
1999-04-14,0.368260673,0.376629688,0.358695149,0.358695149,4828800,0,0
1999-04-15,0.368260801,0.368260801,0.358695274,0.368260801,3585600,0,0
1999-04-16,0.365869594,0.386195265,0.365869594,0.380217403,3892800,0,0
1999-04-19,0.384999708,0.384999708,0.358695244,0.363477528,3129600,0,0
1999-04-20,0.363477549,0.37782536,0.352717403,0.356304109,6768000,0,0
1999-04-21,0.356304118,0.363477559,0.35391299,0.362282008,3748800,0,0
1999-04-22,0.363477608,0.363477608,0.343151932,0.346738666,22718400,0,0
1999-04-23,0.345543013,0.346738591,0.32760847,0.329999626,12604800,0,0
1999-04-26,0.329999547,0.334781829,0.306086217,0.313260585,12350400,0,0
1999-04-27,0.320434169,0.349129795,0.315651884,0.346738666,22694400,0,0
1999-04-28,0.349129731,0.349129731,0.333586371,0.344347447,12009600,0,0
1999-04-29,0.345543025,0.346738603,0.337174007,0.344347447,4814400,0,0
1999-04-30,0.347934245,0.363477609,0.345543089,0.349129796,9931200,0,0
1999-05-03,0.352717338,0.352717338,0.341956236,0.35152176,3384000,0,0
1999-05-04,0.351521873,0.351521873,0.325217404,0.332390845,9604800,0,0
1999-05-05,0.334782004,0.339565247,0.315651905,0.339565247,14457600,0,0
1999-05-06,0.337174016,0.344347456,0.322826205,0.33298859,3561600,0,0
1999-05-07,0.322826019,0.337173821,0.322826019,0.334781736,2500800,0,0
1999-05-10,0.332390609,0.341956103,0.332390609,0.334781736,1968000,0,0
1999-05-11,0.349129617,0.363477423,0.34195618,0.35271728,17174400,0,0
1999-05-12,0.356304088,0.364673106,0.351521804,0.363477528,16848000,0,0
1999-05-13,0.363477528,0.373043054,0.362281978,0.363477528,6993600,0,0
1999-05-14,0.363477542,0.363477542,0.339565163,0.344347447,2846400,0,0
1999-05-17,0.339565037,0.361086279,0.338369459,0.361086279,3576000,0,0
