Date,Close
2022-07-13,16.6
2022-07-14,16.58
2022-07-15,16.76
2022-07-18,16.93
2022-07-19,17.31
2022-07-20,17.32
2022-07-21,17.66
2022-07-22,17.65
2022-07-25,18.02
2022-07-26,18
2022-07-27,18.06
2022-07-28,18.04
2022-07-29,17.99
2022-08-01,17.9
2022-08-02,17.83
2022-08-03,17.81
2022-08-04,17.3
2022-08-05,17.47
2022-08-08,17.68
2022-08-09,18.04
2022-08-10,18.14
2022-08-11,18.59
2022-08-12,18.69
2022-08-15,18.57
2022-08-16,18.65
2022-08-17,18.57
2022-08-18,18.93
2022-08-19,18.72
2022-08-22,18.56
2022-08-23,18.89
2022-08-24,19.2
2022-08-25,19.26
2022-08-26,18.99
2022-08-29,18.94
2022-08-30,18.48
2022-08-31,18.32
2022-09-01,18.17
2022-09-02,18.22
2022-09-06,17.77
2022-09-07,17.85
2022-09-08,18.03
2022-09-09,18.31
2022-09-12,18.74
2022-09-13,18.17
2022-09-14,18.53
2022-09-15,18.33
2022-09-16,17.85
2022-09-19,18.05
2022-09-20,17.9
2022-09-21,17.52
2022-09-22,17.32
2022-09-23,16.53
2022-09-26,16.09
2022-09-27,16.33
2022-09-28,16.84
2022-09-29,16.72
2022-09-30,16.64
2022-10-03,17.1
2022-10-04,17.67
2022-10-05,17.7
2022-10-06,17.39
2022-10-07,17.24
2022-10-10,17.07
2022-10-11,17.16
2022-10-12,17.05
2022-10-13,17.64
2022-10-14,17.19
2022-10-17,17.5
2022-10-18,17.77
2022-10-19,17.99
2022-10-20,17.12
2022-10-21,17.52
2022-10-24,17.28
2022-10-25,17.51
2022-10-26,17.73
2022-10-27,17.99
2022-10-28,17.77
2022-10-31,18.12
2022-11-01,18.24
2022-11-02,17.9
2022-11-03,18.04
2022-11-04,18.17
2022-11-07,18.25
2022-11-08,18.31
2022-11-09,17.58
2022-11-10,18.2
2022-11-11,18.69
2022-11-14,18.53
2022-11-15,18.66
2022-11-16,18.41
2022-11-17,18.3
2022-11-18,18.42
2022-11-21,18.28
2022-11-22,18.72
2022-11-23,18.65
2022-11-25,18.63
2022-11-28,18.46
2022-11-29,18.88
2022-11-30,19.12
2022-12-01,19.15
2022-12-02,19
2022-12-05,18.56
2022-12-06,18.1
2022-12-07,18.04
2022-12-08,17.77
2022-12-09,17.45
2022-12-12,17.82
2022-12-13,18.21
2022-12-14,18.11
2022-12-15,17.96
2022-12-16,17.69
2022-12-19,17.51
2022-12-20,17.61
2022-12-21,17.88
2022-12-22,17.74
2022-12-23,18.14
2022-12-27,18.26
2022-12-28,17.93
2022-12-29,18.15
2022-12-30,18.08
2023-01-03,18.01
2023-01-04,18.23
2023-01-05,18.21
2023-01-06,18.58
2023-01-09,18.71
2023-01-10,18.74
2023-01-11,18.78
2023-01-12,18.89
2023-01-13,18.85
2023-01-17,18.82
2023-01-18,18.36
2023-01-19,18.75
2023-01-20,18.64
2023-01-23,18.76
2023-01-24,18.57
2023-01-25,18.45
2023-01-26,18.61
2023-01-27,18.66
2023-01-30,18.04
2023-01-31,18.3
2023-02-01,18.37
2023-02-02,18.45
2023-02-03,18.28
2023-02-06,18.17
2023-02-07,18.28
2023-02-08,18.22
2023-02-09,17.99
2023-02-10,18.36
2023-02-13,18.39
2023-02-14,18.31
2023-02-15,18.19
2023-02-16,18.09
2023-02-17,17.73
2023-02-21,17.35
2023-02-22,17.32
2023-02-23,17.48
2023-02-24,17.44
2023-02-27,17.36
2023-02-28,17.06
2023-03-01,17.26
2023-03-02,17.46
2023-03-03,17.65
2023-03-06,17.62
2023-03-07,17.35
2023-03-08,17.32
2023-03-09,17.14
2023-03-10,16.77
2023-03-13,16.85
2023-03-14,16.94
2023-03-15,16.58
2023-03-16,16.55
2023-03-17,16.28
2023-03-20,16.53
2023-03-21,16.82
2023-03-22,16.62
2023-03-23,16.39
2023-03-24,16.79
2023-03-27,16.89
2023-03-28,17.06
2023-03-29,17.25
2023-03-30,17.3
2023-03-31,17.51
2023-04-03,17.66
2023-04-04,17.48
2023-04-05,17.71
2023-04-06,17.71
2023-04-10,17.75
2023-04-11,17.89
2023-04-12,17.82
2023-04-13,17.77
2023-04-14,17.81
2023-04-17,17.78
2023-04-18,17.7
2023-04-19,17.6
2023-04-20,17.35
2023-04-21,17.37
2023-04-24,17.62
2023-04-25,17.41
2023-04-26,17.21
2023-04-27,17.32
2023-04-28,17.15
2023-05-01,17.1
2023-05-02,16.68
2023-05-03,16.56
2023-05-04,16.64
2023-05-05,17.04
2023-05-08,16.9
2023-05-09,16.85
2023-05-10,16.79
2023-05-11,16.7
2023-05-12,16.8
2023-05-15,16.7
2023-05-16,16.3
2023-05-17,16.45
2023-05-18,16.52
2023-05-19,16.52
2023-05-22,16.53
2023-05-23,16.54
2023-05-24,16.5
2023-05-25,16.22
2023-05-26,16.21
2023-05-30,16.15
2023-05-31,16.11
2023-06-01,16.26
2023-06-02,16.75
2023-06-05,16.76
2023-06-06,16.85
2023-06-07,17.23
2023-06-08,17.32
2023-06-09,17.03
2023-06-12,16.89
2023-06-13,17.03
2023-06-14,16.9
2023-06-15,17.01
2023-06-16,17.04
2023-06-20,16.66
2023-06-21,16.64
2023-06-22,16.49
2023-06-23,16.32
2023-06-26,16.54
2023-06-27,16.8
2023-06-28,17.01
2023-06-29,17.2
2023-06-30,17.22
2023-07-03,17.25
2023-07-05,17.08
2023-07-06,16.86
2023-07-07,16.92
2023-07-10,16.95
2023-07-11,17.25
2023-07-12,17.54
2023-07-13,17.6
