Date,Close
2022-07-13,32.28
2022-07-14,31.85
2022-07-15,31.97
2022-07-18,31.2
2022-07-19,31.57
2022-07-20,31.66
2022-07-21,31.76
2022-07-22,31.96
2022-07-25,32.8
2022-07-26,32.9
2022-07-27,32.64
2022-07-28,32.45
2022-07-29,31.72
2022-08-01,31.83
2022-08-02,31.77
2022-08-03,32.57
2022-08-04,32.41
2022-08-05,31.5
2022-08-08,31.54
2022-08-09,31.39
2022-08-10,31.52
2022-08-11,31.69
2022-08-12,30.99
2022-08-15,31.01
2022-08-16,31.18
2022-08-17,30.87
2022-08-18,30.73
2022-08-19,30.66
2022-08-22,30.37
2022-08-23,29.92
2022-08-24,30.06
2022-08-25,30.34
2022-08-26,29.69
2022-08-29,29.35
2022-08-30,28.66
2022-08-31,28.53
2022-09-01,28.81
2022-09-02,28.5
2022-09-06,28.71
2022-09-07,28.96
2022-09-08,29.36
2022-09-09,29.83
2022-09-12,29.71
2022-09-13,28.73
2022-09-14,28.62
2022-09-15,28.75
2022-09-16,28.61
2022-09-19,28.3
2022-09-20,27.3
2022-09-21,26.8
2022-09-22,26.29
2022-09-23,25.75
2022-09-26,25.15
2022-09-27,24.26
2022-09-28,24.51
2022-09-29,23.55
2022-09-30,23.4
2022-10-03,24.07
2022-10-04,25.71
2022-10-05,25.63
2022-10-06,24.76
2022-10-07,24.01
2022-10-10,23.67
2022-10-11,23.5
2022-10-12,23.65
2022-10-13,24.03
2022-10-14,23.31
2022-10-17,23.81
2022-10-18,24.17
2022-10-19,23.8
2022-10-20,23.56
2022-10-21,23.68
2022-10-24,24.04
2022-10-25,24.73
2022-10-26,25.29
2022-10-27,25.95
2022-10-28,26.18
2022-10-31,26.18
2022-11-01,26.39
2022-11-02,25.93
2022-11-03,25.88
2022-11-04,24.35
2022-11-07,24
2022-11-08,23.56
2022-11-09,23.85
2022-11-10,24.71
2022-11-11,25.31
2022-11-14,24.78
2022-11-15,24.88
2022-11-16,24.39
2022-11-17,23.92
2022-11-18,24.4
2022-11-21,24.72
2022-11-22,24.83
2022-11-23,24.81
2022-11-25,25.11
2022-11-28,24.66
2022-11-29,24.94
2022-11-30,26.02
2022-12-01,26.42
2022-12-02,26.72
2022-12-05,26.35
2022-12-06,26.15
2022-12-07,26.08
2022-12-08,26.86
2022-12-09,27.05
2022-12-12,27.58
2022-12-13,28.2
2022-12-14,28.62
2022-12-15,28.28
2022-12-16,27.44
2022-12-19,27.43
2022-12-20,27.45
2022-12-21,27.79
2022-12-22,27.64
2022-12-23,27.93
2022-12-27,27.94
2022-12-28,27.65
2022-12-29,28.18
2022-12-30,27.93
2023-01-03,28.07
2023-01-04,28.94
2023-01-05,28.84
2023-01-06,29.15
2023-01-09,29.58
2023-01-10,30.12
2023-01-11,30.64
2023-01-12,31.38
2023-01-13,32.06
2023-01-17,32.08
2023-01-18,31.94
2023-01-19,31.41
2023-01-20,31.34
2023-01-23,32.01
2023-01-24,31.41
2023-01-25,30.64
2023-01-26,30.32
2023-01-27,29.94
2023-01-30,29.57
2023-01-31,30.13
2023-02-01,30.31
2023-02-02,30.41
2023-02-03,29.76
2023-02-06,29.58
2023-02-07,29.84
2023-02-08,29.68
2023-02-09,29.06
2023-02-10,29.02
2023-02-13,29.48
2023-02-14,29.13
2023-02-15,29.26
2023-02-16,24.87
2023-02-17,26.02
2023-02-21,27.04
2023-02-22,26.83
2023-02-23,26.65
2023-02-24,25.59
2023-02-27,25.09
2023-02-28,24.49
2023-03-01,24.29
2023-03-02,24.11
2023-03-03,24.56
2023-03-06,24.12
2023-03-07,23.74
2023-03-08,23.68
2023-03-09,23.27
2023-03-10,22.68
2023-03-13,22.26
2023-03-14,21.95
2023-03-15,21.52
2023-03-16,21.72
2023-03-17,21.67
2023-03-20,22.39
2023-03-21,22.38
2023-03-22,21.85
2023-03-23,21.42
2023-03-24,21.86
2023-03-27,22.08
2023-03-28,22.24
2023-03-29,22.68
2023-03-30,23.09
2023-03-31,23.52
2023-04-03,23.53
2023-04-04,23.08
2023-04-05,23.64
2023-04-06,23.95
2023-04-10,23.85
2023-04-11,23.75
2023-04-12,23.61
2023-04-13,23.98
2023-04-14,23.8
2023-04-17,24.04
2023-04-18,23.59
2023-04-19,23.89
2023-04-20,23.69
2023-04-21,24.11
2023-04-24,24.03
2023-04-25,23.59
2023-04-26,23.7
2023-04-27,24.33
2023-04-28,24.63
2023-05-01,24.5
2023-05-02,24.06
2023-05-03,24.24
2023-05-04,22.01
2023-05-05,22.52
2023-05-08,21.82
2023-05-09,21.24
2023-05-10,21.5
2023-05-11,21.15
2023-05-12,20.87
2023-05-15,20.84
2023-05-16,20.41
2023-05-17,20.58
2023-05-18,20.47
2023-05-19,20.43
2023-05-22,20.74
2023-05-23,20.63
2023-05-24,20.12
2023-05-25,19.86
2023-05-26,19.54
2023-05-30,19.27
2023-05-31,19.39
2023-06-01,19.45
2023-06-02,19.76
2023-06-05,20.19
2023-06-06,20.08
2023-06-07,20.47
2023-06-08,20.01
2023-06-09,19.83
2023-06-12,20.42
2023-06-13,20.39
2023-06-14,20.29
2023-06-15,20.92
2023-06-16,20.91
2023-06-20,20.88
2023-06-21,20.79
2023-06-22,20.91
2023-06-23,20.24
2023-06-26,20.52
2023-06-27,20.62
2023-06-28,20.42
2023-06-29,20.73
2023-06-30,20.81
2023-07-03,20.57
2023-07-05,20.55
2023-07-06,19.92
2023-07-07,20.1
2023-07-10,20.19
2023-07-11,20.79
2023-07-12,20.27
2023-07-13,20.71
