Date,Close
2022-07-13,68.4
2022-07-14,68.99
2022-07-15,69.51
2022-07-18,68.96
2022-07-19,71.84
2022-07-20,72.67
2022-07-21,72.95
2022-07-22,71.9
2022-07-25,72.39
2022-07-26,72.72
2022-07-27,76.44
2022-07-28,76.85
2022-07-29,78.17
2022-08-01,78.28
2022-08-02,77.46
2022-08-03,79.23
2022-08-04,79.5
2022-08-05,79.32
2022-08-08,79.28
2022-08-09,78.86
2022-08-10,79.9
2022-08-11,80.6
2022-08-12,81.75
2022-08-15,81.55
2022-08-16,81.32
2022-08-17,80.58
2022-08-18,80.41
2022-08-19,79.41
2022-08-22,77.33
2022-08-23,76.9
2022-08-24,77.37
2022-08-25,78.18
2022-08-26,75.23
2022-08-29,74.07
2022-08-30,72.86
2022-08-31,72.22
2022-09-01,72.72
2022-09-02,71.72
2022-09-06,72.08
2022-09-07,73.41
2022-09-08,72.91
2022-09-09,73.4
2022-09-12,73.8
2022-09-13,71.12
2022-09-14,69.85
2022-09-15,68.93
2022-09-16,67.8
2022-09-19,68.25
2022-09-20,67.62
2022-09-21,67.03
2022-09-22,65.45
2022-09-23,65.78
2022-09-26,65.37
2022-09-27,65.13
2022-09-28,65.77
2022-09-29,64.5
2022-09-30,63.8
2022-10-03,65.44
2022-10-04,67.05
2022-10-05,67.43
2022-10-06,66.8
2022-10-07,65.26
2022-10-10,65.01
2022-10-11,64.75
2022-10-12,64.58
2022-10-13,65.01
2022-10-14,64.12
2022-10-17,65.37
2022-10-18,66.71
2022-10-19,66.28
2022-10-20,64.75
2022-10-21,66.79
2022-10-24,67.08
2022-10-25,68.85
2022-10-26,68.34
2022-10-27,70.01
2022-10-28,71.69
2022-10-31,70.64
2022-11-01,71.51
2022-11-02,70.21
2022-11-03,70.21
2022-11-04,73.22
2022-11-07,73.74
2022-11-08,73.16
2022-11-09,72.61
2022-11-10,75.6
2022-11-11,77.37
2022-11-14,77.77
2022-11-15,78.71
2022-11-16,78.4
2022-11-17,77.35
2022-11-18,77.76
2022-11-21,78.19
2022-11-22,78.25
2022-11-23,78.1
2022-11-25,78.67
2022-11-28,76.34
2022-11-29,76.88
2022-11-30,78.09
2022-12-01,78.83
2022-12-02,79.75
2022-12-05,78.48
2022-12-06,79.19
2022-12-07,79
2022-12-08,79.74
2022-12-09,78.46
2022-12-12,80.54
2022-12-13,80.95
2022-12-14,80.25
2022-12-15,78.82
2022-12-16,78.6
2022-12-19,77.87
2022-12-20,77.92
2022-12-21,79.03
2022-12-22,78.14
2022-12-23,78.36
2022-12-27,78.51
2022-12-28,77.4
2022-12-29,79.07
2022-12-30,78.31
2023-01-03,79.12
2023-01-04,80.77
2023-01-05,80.13
2023-01-06,81.85
2023-01-09,81.47
2023-01-10,81.67
2023-01-11,81.9
2023-01-12,82.9
2023-01-13,83.25
2023-01-17,82.98
2023-01-18,81.79
2023-01-19,79.65
2023-01-20,80.81
2023-01-23,81.35
2023-01-24,82.11
2023-01-25,80.96
2023-01-26,81.08
2023-01-27,81.2
2023-01-30,80.96
2023-01-31,82.23
2023-02-01,84.56
2023-02-02,83.86
2023-02-03,84.73
2023-02-06,83.67
2023-02-07,83.63
2023-02-08,83.53
2023-02-09,82.81
2023-02-10,83.22
2023-02-13,84.38
2023-02-14,84.33
2023-02-15,84.57
2023-02-16,83.59
2023-02-17,84.76
2023-02-21,83.06
2023-02-22,83.37
2023-02-23,83.97
2023-02-24,83.63
2023-02-27,84
2023-02-28,84.62
2023-03-01,85.23
2023-03-02,85.67
2023-03-03,86.93
2023-03-06,86.65
2023-03-07,85.14
2023-03-08,85.34
2023-03-09,84.15
2023-03-10,82.15
2023-03-13,81.94
2023-03-14,83.43
2023-03-15,81.16
2023-03-16,81.51
2023-03-17,80.04
2023-03-20,81.78
2023-03-21,82.31
2023-03-22,80.64
2023-03-23,80.28
2023-03-24,80.5
2023-03-27,80.99
2023-03-28,81.72
2023-03-29,82.83
2023-03-30,83.13
2023-03-31,84.4
2023-04-03,84.2
2023-04-04,80.63
2023-04-05,79.39
2023-04-06,78.49
2023-04-10,79.13
2023-04-11,79.77
2023-04-12,80.73
2023-04-13,81.16
2023-04-14,81.26
2023-04-17,82.38
2023-04-18,82.29
2023-04-19,82.5
2023-04-20,82.75
2023-04-21,82.73
2023-04-24,83.05
2023-04-25,82.65
2023-04-26,81.88
2023-04-27,85.88
2023-04-28,85.3
2023-05-01,85.95
2023-05-02,86.26
2023-05-03,85.54
2023-05-04,85.3
2023-05-05,85.96
2023-05-08,85.76
2023-05-09,85.45
2023-05-10,85.45
2023-05-11,84.54
2023-05-12,84.4
2023-05-15,84.51
2023-05-16,82.94
2023-05-17,83.75
2023-05-18,84.5
2023-05-19,84.56
2023-05-22,84.08
2023-05-23,82.24
2023-05-24,81.1
2023-05-25,81.43
2023-05-26,81.79
2023-05-30,81.23
2023-05-31,79.51
2023-06-01,81.51
2023-06-02,85.6
2023-06-05,84.53
2023-06-06,85.52
2023-06-07,87.19
2023-06-08,86.09
2023-06-09,85.66
2023-06-12,86.5
2023-06-13,87.2
2023-06-14,87.51
2023-06-15,88.54
2023-06-16,88.62
2023-06-20,87.08
2023-06-21,87
2023-06-22,86.07
2023-06-23,86.37
2023-06-26,87.12
2023-06-27,87.74
2023-06-28,87.51
2023-06-29,88.61
2023-06-30,89.01
2023-07-03,88.61
2023-07-05,87.54
2023-07-06,86.39
2023-07-07,86.86
2023-07-10,87.28
2023-07-11,87.43
2023-07-12,88.71
2023-07-13,89.06
